CustomerID,Lookalikes
C0001,"[('C0004', 0.554905222584046), ('C0174', 0.7510582329900086), ('C0152', 0.7603945926732072)]"
C0002,"[('C0027', 0.5309155214715361), ('C0134', 0.7142518601989516), ('C0159', 0.7521120738329263)]"
C0003,"[('C0129', 0.6786740778201601), ('C0195', 0.6890629834246755), ('C0031', 0.7027127533492588)]"
C0004,"[('C0002', 0.554905222584046), ('C0012', 0.5937471647806603), ('C0148', 0.7436119067869691)]"
C0005,"[('C0159', 0.532029462131383), ('C0140', 0.7010209673016601), ('C0007', 0.7580138884570677)]"
C0006,"[('C0076', 0.5199516503620947), ('C0126', 0.5250611501015403), ('C0187', 0.762148618344914)]"
C0007,"[('C0193', 0.5319407112198695), ('C0140', 0.6551810950516981), ('C0006', 0.7580138884570677)]"
C0008,"[('C0067', 0.6685446341850609), ('C0059', 0.7177209226980199), ('C0046', 0.7253886534218835)]"
C0009,"[('C0132', 0.5534974346220578), ('C0061', 0.565548182313013), ('C0198', 0.7010822020671361)]"
C0010,"[('C0073', 0.5634412789062266), ('C0019', 0.5788333209443454), ('C0132', 0.6061211035222072)]"
C0011,"[('C0099', 0.5928658454082035), ('C0155', 0.6075028439186795), ('C0165', 0.6270099220677486)]"
C0012,"[('C0018', 0.5288405514373151), ('C0005', 0.5937471647806603), ('C0148', 0.6493553655621752)]"
C0013,"[('C0013', 0.5219336587178369), ('C0087', 0.5251973490321208), ('C0126', 0.7320281924135108)]"
C0014,"[('C0063', 0.5326884345934098), ('C0060', 0.6527957188041884), ('C0089', 0.7489058697276187)]"
C0015,"[('C0123', 0.5328667862413055), ('C0058', 0.5331829170053811), ('C0131', 0.6327953154327914)]"
C0016,"[('C0050', 0.4914284226185158), ('C0183', 0.49949919992092484), ('C0049', 0.5254757670188557)]"
C0017,"[('C0114', 0.7050668323143363), ('C0170', 0.706308847069851), ('C0075', 0.7473636860729573)]"
C0018,"[('C0035', 0.5885943944898678), ('C0047', 0.635022338359355), ('C0065', 0.722672920047255)]"
C0019,"[('C0132', 0.5653234904154827), ('C0011', 0.5788333209443454), ('C0070', 0.6809423696609302)]"
C0020,"[('C0016', 0.5241717012003333), ('C0058', 0.5263348964911583), ('C0033', 0.5324062213132772)]"
C0021,"[('C0045', 0.7321962786749453), ('C0173', 0.7538383548192323), ('C0145', 0.760776738272728)]"
C0022,"[('C0022', 0.7117806239194302), ('C0028', 0.7572787349565511), ('C0143', 0.7583906854893477)]"
C0023,"[('C0037', 0.5244377277641863), ('C0196', 0.5273971968961373), ('C0070', 0.6980083747653208)]"
C0024,"[('C0055', 0.7249815247795848), ('C0154', 0.7279212806243445), ('C0098', 0.752706639056427)]"
C0025,"[('C0112', 0.5318894888591728), ('C0071', 0.5325803768483389), ('C0133', 0.5327385436953799)]"
C0026,"[('C0055', 0.5219595960604475), ('C0117', 0.529515438780984), ('C0154', 0.5325757252528118)]"
C0027,"[('C0193', 0.5151857853161768), ('C0106', 0.518406689963961), ('C0003', 0.5309155214715361)]"
C0028,"[('C0022', 0.706672049282052), ('C0023', 0.7572787349565511), ('C0143', 0.7658730675866391)]"
C0029,"[('C0192', 0.5179497903905399), ('C0131', 0.5202814733923256), ('C0176', 0.5235054509286857)]"
C0030,"[('C0189', 0.5065937448634441), ('C0076', 0.5130082182747797), ('C0047', 0.5207521411228984)]"
C0031,"[('C0195', 0.5496865539995899), ('C0004', 0.7027127533492588), ('C0129', 0.7606564349719509)]"
C0032,"[('C0094', 0.5146106059225435), ('C0077', 0.5230784269921123), ('C0151', 0.5281383548294964)]"
C0033,"[('C0016', 0.524079400925207), ('C0021', 0.5324062213132772), ('C0058', 0.7593709476686894)]"
C0034,"[('C0109', 0.41537700583227766), ('C0009', 0.47606206425617537), ('C0049', 0.6875857064031778)]"
C0035,"[('C0019', 0.5885943944898678), ('C0157', 0.7152577036480718), ('C0047', 0.747681499125298)]"
C0036,"[('C0189', 0.5305494235390977), ('C0144', 0.531576242502078), ('C0185', 0.689625659264575)]"
C0037,"[('C0024', 0.5244377277641863), ('C0053', 0.5274581419270573), ('C0149', 0.5293908270439507)]"
C0038,"[('C0176', 0.5300429684367978), ('C0131', 0.7059427175912351), ('C0160', 0.7637008266163136)]"
C0039,"[('C0048', 0.7087209750773548), ('C0190', 0.7113702138613553), ('C0181', 0.7378282132727323)]"
C0040,"[('C0106', 0.4851716403897102), ('C0008', 0.4862111237389638), ('C0161', 0.4957605901412772)]"
C0041,"[('C0053', 0.6359395765802127), ('C0100', 0.6593018028146541), ('C0051', 0.7379933944589926)]"
